# mooring positions
 -33.4232 S 	 27.5167 E 	 79 m 	
 -33.5112 S 	 27.5698 E 	  121 m 	
 -33.5583 S 	 27.595 E 	  319 m 	
 -33.6674 S 	 27.6428 E 	  1257 m 	
 -33.7996 S 	 27.7152 E 	  2211 m 	
 -34.0435 S 	 27.8603 E 	  3622 m 	
 -34.2917 S 	 28.0358 E 	  3701 m 	
 -34.5386 S 	 28.1725 E 	  3994 m 	
 -34.8233 S 	 28.3447 E 	  4276 m 	
 -34.9581 S 	 28.4277 E 	  4374 m 	
 -35.3459 S 	 28.6622 E 	  4438 m 	
 -35.7332 S 	 28.8978 E 	  4563 m 	
# 
# CTD POSITIONS – LEG 2
 -33.3438 S 	 27.4808 E 	    60 m 	
 -33.4633 S 	 27.5487 E 	    83 m 	
 -33.5565 S 	 27.5989 E 	    340 m 	
 -33.5957 S 	 27.6250 E 	    1000 m 	
 -33.6536 S 	 27.6579 E 	    1275 m 	
 -33.7033 S 	 27.6869 E 	    1960 m 	
 -33.7823 S 	 27.7198 E 	    2400 m 	
 -33.8950 S 	 27.7981 E 	    3210 m 	
 -34.0207 S 	 27.8633 E 	    3600 m 	
 -34.1367 S 	 27.9393 E 	    3646 m 	
 -34.2865 S 	 28.0259 E 	    3720 m 	
 -34.4000 S 	 28.0944 E 	    3988 m 	
 -34.5387 S 	 28.1622 E 	    4010 m 	
 -34.6730 S 	 28.2566 E 	    4248 m 	
 -34.8219 S 	 28.3453 E 	    4380 m 	
 -34.9580 S 	 28.3417 E 	    4374 m 	
 -35.1517 S 	 28.5444 E 	    4414 m 	
 -35.3460 S 	 28.6622 E 	    4438 m 	
 -35.5333 S 	 28.7770 E 	    4475 m 	
 -35.7338 S 	 28.9000 E 	    4563 m 	
# 
